, Product Division,Category,Sub Category,Destination,Product Name,Portion,Quantity Sold,Value of Sales,Net Value of Sales,% of Total Sales,% of Division,% of Category,% of Sub-Cat,Gross Sales,Discount,Promotion,Tax
425,Bar,Wine,04 Wine,Standard,GL Baros InkShir,250ml,10,32.8,27.330399999999997,0.0407890188,0.1053847765,1.7527453443,1.7527453443,57.3,0,24.5,5.4696
426,Bar,Wine,04 Wine,Standard,GL Villa Blush,175ml,5,11.899999999999999,9.915599999999998,0.014798455,0.038234111,0.6359045609,0.6359045609,19.95,0,8.05,1.9844
427,Bar,Wine,04 Wine,Standard,GL Villa Blush,250ml,3,9.840000000000002,8.198100000000002,0.0122367056,0.031615433,0.5258236033,0.5258236033,17.19,0,7.35,1.6419
428,Bar,Wine,04 Wine,Standard,GL Villa Sauv,175ml,9,21.419999999999998,17.8497,0.026637219,0.0688213998,1.1446282096,1.1446282096,37.98,0,16.56,3.5703
429,Bar,Wine,04 Wine,Standard,GL Villa Sauv,250ml,14,45.92,38.2687,0.0571046263,0.1475386871,2.453843482,2.453843482,80.22,0,34.3,7.6513
430,Bar,Wine,04 Wine,Standard,Glass Prosecco,175ml,6,16.5,13.754100000000001,0.0205188662,0.0530136833,0.8817164079,0.8817164079,20.94,0,4.44,2.7459
431,Bar,Wine,04 Wine,Standard,Large Prosecco,175ml,10,34.199999999999996,28.501799999999996,0.0425300135,0.1098829072,1.8275576456,1.8275576456,34.9,0.7,0,5.6982
432,Bar,Wine,04 Wine,Standard,Large Prosecco,Bottle,7,107.73,89.7501,0.1339695425,0.3461311578,5.7568065835,5.7568065835,107.73,0,0,17.9799
433,Bar,Wine,04 Wine,Standard,Mount Rozier,Bottle,2,22.9,19.08,0.0284776991,0.0735765665,1.2237154995,1.2237154995,22.9,0,0,3.82
434,Bar,Wine,04 Wine,Standard,Small Prosecco,Sml Bottle,16,70.72,58.9119,0.0879451039,0.2272198596,3.7790899618,3.7790899618,70.72,0,0,11.8081
435,Bar,Wine,04 Wine,Standard,Sml Rose Prosecc,Sml Bottle,4,17.68,14.733799999999999,0.021986276,0.0568049649,0.9447724904,0.9447724904,17.68,0,0,2.9462
436,Bar,Wine,04 Wine,Standard,The Pale Rose,175ml,1,4.86,4.0513,0.0060437388,0.0156149394,0.2597055602,0.2597055602,4.86,0,0,0.8087
437,Bar,Wine,04 Wine,Standard,The Pale Rose,250ml,1,6.6,5.4992,0.0082075465,0.0212054733,0.3526865632,0.3526865632,6.6,0,0,1.1008
438,Bar,Wine,04 Wine,Standard,The Pale Rose,Bottle,2,35.42,29.5169,0.044047166,0.1138027068,1.8927512224,1.8927512224,35.42,0,0,5.9031
439,Bar,Wine,04 Wine,Standard,Villa Blush,175ml,3,10.360000000000001,8.628800000000002,0.0128833608,0.0332861672,0.5536110295,0.5536110295,11.97,0,1.61,1.7312
440,Bar,Wine,04 Wine,Standard,Villa Blush,250ml,5,28.65,23.8678,0.0356282131,0.0920510319,1.5309803083,1.5309803083,28.65,0,0,4.7822
441,Bar,Wine,04 Wine,Standard,Villa Sauvignon,125ml,9,26.18,21.8099,0.032556601,0.0841150442,1.3989900339,1.3989900339,27.54,0,1.36,4.3701
442,Bar,Wine,04 Wine,Standard,Villa Sauvignon,175ml,20,82.56,68.80330000000001,0.1026689449,0.2652611936,4.4117882812,4.4117882812,84.4,0,1.84,13.7567
443,Bar,Wine,04 Wine,Standard,Villa Sauvignon,250ml,18,100.69,83.8802,0.1252148263,0.3235119862,5.3806075828,5.3806075828,103.14,0,2.45,16.8098
444,Bar,Wine,04 Wine,Standard,Villa Sauvignon,Bottle,7,107.73,89.7548,0.1339695425,0.3461311578,5.7568065835,5.7568065835,107.73,0,0,17.9752
445,,,,,SubTotal,,482,1871.3500000000004,1559.7406999999998,2.3271503149,6.0125549252,,100,2028.9900000000007,3.7300000000000004,153.91000000000003,311.60929999999985
446,,,,Sub-Cat Total,,,482,1871.3500000000004,1559.7406999999998,2.3271503149,6.0125549252,,,2028.9900000000007,3.7300000000000004,153.91000000000003,311.60929999999985
447,,,Category Total,,,,482,1871.3500000000004,1559.7406999999996,2.3271503149,6.0125549252,100,,2028.9900000000007,3.7300000000000004,153.91000000000003,311.60929999999985
448,,Division Total,,,,,13993,31124.039999999968,25951.822199999995,38.7048491672,100,,,36010.62999999996,88.19,4798.399999999992,5172.217799999992
449,Food,Breakfasts,Breakfast,Standard,1 Slice Toast,Standard,64,78.72,65.5939,0.0978936451,0.1597086291,1.3111652248,1.3111652248,78.72,0,0,13.1261
